id_detalle,id_pedido,id_producto,cantidad,precio_unitario,subtotal
1,1,1,1,149.99,149.99
2,1,2,2,59.90,119.80
3,2,3,1,89.00,89.00
4,2,4,3,12.99,38.97
5,3,5,2,79.99,159.98
6,3,6,1,45.00,45.00
7,4,7,3,19.90,59.70
8,4,8,1,229.99,229.99
9,5,9,2,24.50,49.00
10,5,10,4,15.30,61.20
11,6,11,1,120.00,120.00
12,6,12,2,34.70,69.40
13,7,13,1,899.99,899.99
14,7,15,2,75.00,150.00
15,8,14,5,25.50,127.50
16,8,1,1,149.99,149.99
17,9,2,1,59.90,59.90
18,9,3,1,89.00,89.00
19,10,8,1,229.99,229.99
20,10,11,1,120.00,120.00
21,11,13,1,899.99,899.99
22,11,6,2,45.00,90.00
23,12,15,1,75.00,75.00
24,12,4,5,12.99,64.95
25,13,12,3,34.70,104.10
26,13,7,2,19.90,39.80
27,14,5,2,79.99,159.98
28,14,10,2,15.30,30.60
29,15,13,1,899.99,899.99
30,15,1,2,149.99,299.98
